sku,upc,weight,height_cm,length_cm,width_cm,uom,image_url
A073WL,752044062925,0.3050,5.20,10.00,9.60,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
A073WM,752044062918,0.2650,4.90,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
A073WS,752044062901,0.2450,5.00,13.30,12.50,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
A073WXL,752044062932,0.3200,4.90,14.50,13.70,EA,http://champrosports.com/images/product/large/A073_1_white.jpg
A074B2X,752044060839,0.3450,6.00,14.20,14.40,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074B3X,752044060846,0.3600,6.00,13.90,13.70,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074BL,752044060815,0.3150,6.00,13.90,13.70,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074BM,752044060808,0.2850,5.40,12.80,11.70,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074BS,752044060792,0.2850,6.00,11.90,11.70,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074BXL,752044060822,0.3200,6.00,13.40,13.00,EA,http://champrosports.com/images/product/large/A074_1_black.jpg
A074NY2X,752044060891,0.3450,6.00,14.20,14.40,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
A074NY3X,752044060907,0.3600,6.00,13.90,13.70,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
A074NYL,752044060877,0.3150,6.00,13.90,13.70,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
A074NYM,752044060860,0.2850,5.40,12.80,11.70,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
A074NYS,752044060853,0.2850,6.00,11.90,11.70,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
A074NYXL,752044060884,0.3200,6.00,13.40,13.00,EA,http://champrosports.com/images/product/large/A074_1_navy.jpg
